From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
972;874;sea;1558;-1;-1;-1;-1;Nootka-Salish
972;973;sea;1558;-1;-1;-1;-1;Nootka-Squamish
972;974;sea;1558;-1;-1;-1;-1;Nootka-Kwakiutl
984;982;sea;1491;1847;1650;1849;1652;Acadia-Unamakik
984;983;sea;1491;1824;1654;1825;1658;Acadia-Epekwitk
996;981;sea;1493;-1;-1;-1;-1;Innu-Taqamkuk
1050;1033;sea;1379;-1;-1;-1;-1;Deren-Sakhalin
1215;387;sea;1329;-1;-1;-1;-1;Tajura-Mocha
112;1774;sea;1308;2996;1430;2994;1434;Venice-Treviso
54;1775;sea;1268;2945;1599;2943;1597;Stade-Holstein
1820;1021;sea;1391;4912;1219;4919;1223;Awa-Settsu
1026;1847;sea;1387;4999;1357;5005;1351;Shiribeshi-Mutsu
1032;1852;sea;1440;-1;-1;-1;-1;Kurils-Tokachi
1199;1201;sea;1448;-1;-1;-1;-1;Bagamoyo-Zanzibar
1247;127;sea;1298;-1;-1;-1;-1;Corsica-Sardinia

500;501;sea;1522;-1;-1;-1;-1;Grenadines-Barbados
499;500;sea;1522;-1;-1;-1;-1;Grenadines-St. Lucia
499;501;sea;1522;-1;-1;-1;-1;St. Lucia-Barbados
498;499;sea;1522;-1;-1;-1;-1;Martinique-St. Lucia
497;498;sea;1523;-1;-1;-1;-1;Dominica-Martinique
496;497;sea;1523;-1;-1;-1;-1;Guadeloupe-Dominica
495;496;sea;1523;-1;-1;-1;-1;Antigue-Guadeloupe
494;495;sea;1523;-1;-1;-1;-1;St. Kitts-Antigua
1881;494;sea;1523;-1;-1;-1;-1;St. Martin-St. Kitts
493;1881;sea;1523;-1;-1;-1;-1;St. Thomas-St. Martin
492;493;sea;1523;-1;-1;-1;-1;Puerto Rico-St. Thomas

395;396;sea;1335;-1;-1;-1;-1;Qatar-Bahrain
394;396;sea;1335;-1;-1;-1;-1;Al Hasa-Bahrain
398;431;sea;1334;-1;-1;-1;-1;Qawasim-Hormoz
319;320;sea;1932;-1;-1;-1;-1;Mentese-Rhodes
596;620;sea;1361;-1;-1;-1;-1;Malacca-Siak
623;630;sea;1360;-1;-1;-1;-1;Lampung-Sunda
627;631;sea;1354;-1;-1;-1;-1;Blampangan-Bali-Lombok
631;632;sea;1355;-1;-1;-1;-1;Bali-Lombok-Sumbawa
632;634;sea;1355;-1;-1;-1;-1;Sumbawa-Sumba
632;633;sea;1355;-1;-1;-1;-1;Sumbawa-Flores
633;635;sea;1401;-1;-1;-1;-1;Flores-Timor
637;651;sea;1398;-1;-1;-1;-1;Sabah-Sulu
651;653;sea;1398;-1;-1;-1;-1;Sulu-Tagoloan
653;654;sea;1398;-1;-1;-1;-1;Tagoloan-Visayas
654;656;sea;1397;-1;-1;-1;-1;Visayas-Manila
655;656;sea;1368;-1;-1;-1;-1;Palawan-Minila
648;649;sea;1400;-1;-1;-1;-1;Halmahera-Ternate
648;650;sea;1400;-1;-1;-1;-1;Halmahera-Tidore
645;647;sea;1401;-1;-1;-1;-1;Buru-Ceram
646;647;sea;1401;-1;-1;-1;-1;Ceram-Ambom
638;643;sea;1359;-1;-1;-1;-1;Kutei-Pose
1031;1033;sea;1386;-1;-1;-1;-1;Kamikawa-Sakhalin
54;1775;sea;1268;-1;-1;-1;-1;Stade-Holstein
285;287;sea;1323;-1;-1;-1;-1;Kaffa-Kuban

97;98;sea;1445;2881;1562;2886;1560;Holland-Utrecht

-1;-1;;-1;-1;-1;-1;-1;-1;
